Date,AUROPHARMA,Return
28-May-21,1022.2,0.009112059
27-May-21,1031.6,-0.008061758
26-May-21,1023.35,-0.000684496
25-May-21,1022.65,-0.008779285
24-May-21,1013.75,-0.000592212
21-May-21,1013.15,0.012042906
20-May-21,1025.5,-0.008258775
19-May-21,1017.1,-0.012946918
18-May-21,1004.1,-0.001745897
17-May-21,1002.35,0.004321049
14-May-21,1006.7,0.010419739
12-May-21,1017.3,0.013192356
11-May-21,1030.9,0.01626986
10-May-21,1047.95,-0.034450422
07-May-21,1013.05,-0.003964125
06-May-21,1009.05,0.00884043
05-May-21,1018.05,-0.06434919
04-May-21,956.5,0.012645161
03-May-21,968.75,0.012336239
30-Apr-21,980.85,-0.014112903
29-Apr-21,967.2,-0.004361371
28-Apr-21,963,0.00987045
27-Apr-21,972.6,-0.001441516
26-Apr-21,971.2,0.022298284
23-Apr-21,993.35,-0.000151027
22-Apr-21,993.2,-0.005975894
20-Apr-21,987.3,-0.022155503
19-Apr-21,965.9,-0.013536201
16-Apr-21,953,-0.041245561
15-Apr-21,915.25,-0.006598845
13-Apr-21,909.25,0.006501311
12-Apr-21,915.2,0.030200276
09-Apr-21,943.7,-0.040004408
08-Apr-21,907.4,-0.001932314
07-Apr-21,905.65,-0.000718232
07-Apr-21,905,-0.013664875
06-Apr-21,892.8,-0.012015416
05-Apr-21,882.2,-0.001021219
01-Apr-21,881.3,0
31-Mar-21,881.3,-0.012522978
30-Mar-21,870.4,-0.023939768
26-Mar-21,850.05,-0.01178361
25-Mar-21,840.15,0.018344336
24-Mar-21,855.85,-0.011463688
23-Mar-21,846.15,-0.013049985
22-Mar-21,835.25,-0.015810277
19-Mar-21,822.25,-0.017762099
18-Mar-21,807.9,0.037412129
17-Mar-21,839.3,0.001962067
16-Mar-21,840.95,-0.006764037
15-Mar-21,835.3,0.015266726
12-Mar-21,848.25,0.010556398
10-Mar-21,857.3,-0.005099947
09-Mar-21,852.95,0.011301727
08-Mar-21,862.7,0.000115902
05-Mar-21,862.8,0.013830152
04-Mar-21,874.9,0.006360023
03-Mar-21,880.5,0.006095496
02-Mar-21,885.9,-0.014021633
01-Mar-21,873.65,-0.021573901
26-Feb-21,855.2,0.009325224
25-Feb-21,863.25,-0.001450116
24-Feb-21,862,-0.009840675
23-Feb-21,853.6,0.0032695
22-Feb-21,856.4,0.036182545
19-Feb-21,888.55,0.025392125
18-Feb-21,911.7,0.011332213
17-Feb-21,922.15,0.014639098
16-Feb-21,935.85,-0.003915469
15-Feb-21,932.2,-0.002419485
12-Feb-21,929.95,0.005613772
11-Feb-21,935.2,0.033834392
10-Feb-21,967.95,-0.008859242
09-Feb-21,959.45,-0.002612467
08-Feb-21,956.95,-0.014954659
05-Feb-21,942.85,-0.016933614
04-Feb-21,927.15,-0.007771739
03-Feb-21,920,0.001736111
02-Feb-21,921.6,-0.000162787
01-Feb-21,921.45,-0.017895609
29-Jan-21,905.25,0.041556379
28-Jan-21,944.5,0.015735723
27-Jan-21,959.6,0.039054677
25-Jan-21,998.6,-0.080969907
22-Jan-21,923.8,-0.023884733
21-Jan-21,902.25,0.02983871
20-Jan-21,930,-0.00622126
19-Jan-21,924.25,-0.007576583
18-Jan-21,917.3,0.019978632
15-Jan-21,936,0.024237686
14-Jan-21,959.25,-0.012721706
13-Jan-21,947.2,0.011531438
12-Jan-21,958.25,0.00720058
11-Jan-21,965.2,-0.020889524
08-Jan-21,945.45,0.012533292
07-Jan-21,957.45,0.011766527
06-Jan-21,968.85,0.010721397
05-Jan-21,979.35,-0.014082319
04-Jan-21,965.75,-0.04095931
01-Jan-21,927.75,-0.007000977
31-Dec-20,921.3,-0.016046319
30-Dec-20,906.75,-0.001878349
29-Dec-20,905.05,0.003632961
28-Dec-20,908.35,0.000715072
24-Dec-20,909,-0.022152255
23-Dec-20,889.3,-0.037629076
22-Dec-20,857.05,-0.013360922
21-Dec-20,845.75,0.045428894
18-Dec-20,886,-0.016055046
17-Dec-20,872,0.004225191
16-Dec-20,875.7,-0.00142947
15-Dec-20,874.45,0.016809085
14-Dec-20,889.4,0.008859419
11-Dec-20,897.35,0.001835373
10-Dec-20,899,-0.012159424
09-Dec-20,888.2,0.008871283
08-Dec-20,896.15,0.01521978
07-Dec-20,910,-0.010381391
04-Dec-20,900.65,-0.002783499
03-Dec-20,898.15,-0.009214001
02-Dec-20,889.95,0.008025414
01-Dec-20,897.15,-0.032928444
27-Nov-20,868.55,0.002469278
26-Nov-20,870.7,-0.020929824
25-Nov-20,852.85,0.03002559
24-Nov-20,879.25,-0.036240424
23-Nov-20,848.5,-0.018118551
20-Nov-20,833.4,-0.003914955
19-Nov-20,830.15,0.005808383
18-Nov-20,835,0.024076671
17-Nov-20,855.6,-0.004048583
14-Nov-20,852.15,0.006933924
13-Nov-20,858.1,-0.022765197
12-Nov-20,839,-0.034780464
11-Nov-20,810.8,-0.065370212
10-Nov-20,761.05,0.032481566
09-Nov-20,786.6,-0.008267641
06-Nov-20,780.15,0.014028436
05-Nov-20,791.25,-0.012152223
04-Nov-20,781.75,-0.015721432
03-Nov-20,769.65,-0.01149954
02-Nov-20,760.9,0.015207403
30-Oct-20,772.65,-0.006513385
29-Oct-20,767.65,0.0111426
28-Oct-20,776.3,0.022415313
27-Oct-20,794.1,-0.0119791
26-Oct-20,784.7,-0.002427184
23-Oct-20,782.8,-0.000767067
22-Oct-20,782.2,0.029769288
21-Oct-20,806.2,-0.007372235
20-Oct-20,800.3,0.000374719
19-Oct-20,800.6,0.007007752
16-Oct-20,806.25,-0.018313862
15-Oct-20,791.75,0.023013327
14-Oct-20,810.4,-0.000432072
13-Oct-20,810.05,0.028891686
12-Oct-20,834.15,0.0004793
09-Oct-20,834.55,0.003819755
08-Oct-20,837.75,-0.017674927
07-Oct-20,823.2,0.01625239
06-Oct-20,836.8,0.007648977
05-Oct-20,843.25,-0.030049472
01-Oct-20,818.65,-0.027809165
30-Sep-20,796.5,6.27707E-05
29-Sep-20,796.55,0.005182965
28-Sep-20,800.7,-0.037041834
25-Sep-20,772.1,-0.038117647
24-Sep-20,743.75,0.04671879
23-Sep-20,780.2,0.023651608
22-Sep-20,799.1,-0.008518963
21-Sep-20,792.35,0.043171115
18-Sep-20,828.1,-0.021336951
17-Sep-20,810.8,0.025597885
16-Sep-20,832.1,-0.016243283
15-Sep-20,818.8,-0.028449413
14-Sep-20,796.15,0.008468771
11-Sep-20,802.95,-0.000249144
10-Sep-20,802.75,-0.001122404
09-Sep-20,801.85,-0.019711324
08-Sep-20,786.35,0.009697122
07-Sep-20,794.05,0.016717231
04-Sep-20,807.55,0.023046213
03-Sep-20,826.6,-0.013673432
02-Sep-20,815.45,0.001836098
01-Sep-20,816.95,-0.009951786
31-Aug-20,808.9,0.069052825
28-Aug-20,868.9,0.008783938
27-Aug-20,876.6,-0.010024196
26-Aug-20,867.9,0.004587682
25-Aug-20,871.9,-0.002875546
24-Aug-20,869.4,-0.01547626
21-Aug-20,856.15,0.001574344
20-Aug-20,857.5,0.00792503
19-Aug-20,864.35,0.008886596
18-Aug-20,872.1,-0.010544612
17-Aug-20,863,0.018314185
14-Aug-20,879.1,0.002496312
13-Aug-20,881.3,0.05662599
12-Aug-20,934.2,0.011219306
11-Aug-20,944.8,0.004268325
10-Aug-20,948.85,-0.046775884
07-Aug-20,906.45,0.00362737
06-Aug-20,909.75,-0.057049904
05-Aug-20,860.65,0.003992593
04-Aug-20,864.1,0.003114905
03-Aug-20,866.8,0.008918363
31-Jul-20,874.6,-0.065610722
30-Jul-20,820.75,-0.010838106
29-Jul-20,811.95,-0.026225986
28-Jul-20,791.2,-0.015335258
27-Jul-20,779.25,0.038734349
24-Jul-20,810.65,0.011884447
23-Jul-20,820.4,0.005455207
22-Jul-20,824.9,-0.030867283
21-Jul-20,800.2,0.02841185
20-Jul-20,823.6,0.015480246
17-Jul-20,836.55,0.000477926
16-Jul-20,836.95,0.003690257
15-Jul-20,840.05,-0.037931674
14-Jul-20,809.35,0.0001853
13-Jul-20,809.5,0.013706975
10-Jul-20,820.75,-0.009656784
09-Jul-20,812.9,-0.013717421
08-Jul-20,801.9,-0.033110023
07-Jul-20,776.2,-0.010808699
06-Jul-20,767.9,0.012791669
03-Jul-20,777.85,0.002564596
02-Jul-20,779.85,-0.005285208
01-Jul-20,775.75,-0.005248153
30-Jun-20,771.7,0.022422093
29-Jun-20,789.4,-0.011921549
26-Jun-20,780.1,0.012344116
25-Jun-20,789.85,0.002651683
24-Jun-20,791.95,0.015354967
23-Jun-20,804.3,-0.022436916
22-Jun-20,786.65,-0.004084498
19-Jun-20,783.45,0.004890131
18-Jun-20,787.3,0.002091387
17-Jun-20,788.95,-0.026743883
16-Jun-20,768.4,0.000390269
15-Jun-20,768.7,0.003887521
12-Jun-20,771.7,0.018005981
11-Jun-20,785.85,0.013928101
10-Jun-20,796.95,-0.028388928
09-Jun-20,774.95,-0.032096957
08-Jun-20,750.85,-0.009206989
05-Jun-20,744,0.02034367
04-Jun-20,759.45,-0.012060235
03-Jun-20,750.4,-0.023458811
02-Jun-20,733.2,-0.010404465
01-Jun-20,725.65,0.026822236
29-May-20,745.65,
